year,geo_name,short_indicator_text,long_indicator_text,stratification1,stratification_group1,stratification2,stratification_group2,cost_value
2021,Colorado,By Payer,"Annual Direct Medical Costs Attributable to Diabetes, by Payer",Sex,Overall,Age,19-64,9333.0
2021,Wyoming,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,45-64,11.7
2021,Rhode Island,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-44,57698.0
2021,District Of Columbia,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Overall,Age,45-64,88.4
2021,Wisconsin,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Males,Age,18-74,495.9
2021,South Dakota,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Overall,Age,18-74,2.9
2021,Alabama,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,75+,16.1
2021,Texas,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-74,3838.0
2021,Connecticut,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,,,,,10328.0
2021,New Hampshire,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,45-64,165.0
2021,Hawaii,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,,,,,578.3
2021,Nevada,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,65+,799.2
2021,Indiana,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,18-44,650.3
2021,Rhode Island,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,18-44,110.7
2021,Iowa,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Males,Age,65-74,397.0
2021,Texas,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,16.1
2021,Alaska,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Females,Age,18-44,3271.0
2021,Nebraska,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Females,Age,18+,407.0
2021,Arkansas,By Payer,"Annual Direct Medical Costs Attributable to Diabetes, by Payer",Sex,Females,Age,65+,9853.0
2021,Illinois,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Males,Age,19-64,6115.2
2021,Louisiana,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Overall,Age,19+,22116.0
2021,Connecticut,"By Payer, Sex, Age","Annual Direct Medical Costs Attributable to Diabetes, by Payer, Sex, and Age Group",Sex,Males,Age,19+,1106.2
2021,Texas,Indirect Costs,Annual Total Indirect Costs Attributable to Diabetes,,,,,27353.7
2021,New York,Presenteeism,Annual Work Presenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,746.0
