go_id,aspect
GO:0002020,F
GO:0005035,F
GO:0008625,P
GO:0036462,P
GO:0097191,P
GO:0008066,F
GO:0007193,P
GO:0007196,P
GO:0001664,F
GO:0005184,F
GO:0043248,P
GO:0048863,P
GO:0034774,C
GO:1904813,C
GO:0000502,C
GO:0022624,C
GO:0005838,C
GO:0008540,C
GO:0070682,P
GO:0004842,F
GO:0007417,P
GO:1904380,P
GO:0005524,F
GO:0036122,F
GO:0046332,F
GO:0098821,F
GO:0030501,P
GO:0045669,P
GO:0071773,P
GO:1990712,C
GO:0007166,P
GO:0030667,C
GO:0005507,F
GO:0016530,F
GO:0016531,F
GO:0032767,F
GO:1903136,F
GO:0006825,P
GO:0006878,P
GO:2000121,P
GO:0048019,F
GO:0007218,P
GO:0032098,P
GO:0032100,P
GO:0060259,P
GO:0106072,P
GO:0005796,C
GO:0004435,F
GO:0015057,F
GO:0007596,P
GO:0009611,P
GO:0030168,P
GO:0002076,P
GO:0045668,P
GO:0000400,F
GO:0000403,F
GO:0000976,F
GO:0051219,F
GO:0070412,F
GO:0009411,P
GO:0010332,P
GO:0030511,P
GO:0045064,P
GO:0045786,P
GO:0045815,P
GO:0045892,P
GO:0046329,P
GO:0005788,C
GO:0016363,C
GO:0017053,C
GO:0035097,C
GO:0044665,C
GO:0071339,C
GO:0003714,F
GO:0019789,F
GO:0032183,F
GO:0061665,F
GO:0031519,C
GO:0035102,C
GO:0045048,P
GO:0071816,P
GO:0043529,C
GO:0005496,F
GO:0020037,F
GO:0006783,P
GO:0140077,P
GO:1903078,P
GO:0140870,F
GO:0006368,P
GO:0032785,P
GO:0032786,P
GO:0032968,P
GO:0160239,P
GO:0032044,C
GO:0001046,F
GO:0016251,F
GO:0017162,F
GO:0006352,P
GO:0006367,P
GO:0042789,P
GO:0051123,P
GO:0060261,P
GO:0005669,C
GO:0033276,C
GO:0050544,F
GO:0010447,P
GO:1902511,P
GO:0060703,F
GO:1900118,P
GO:0000977,F
GO:0090575,C
GO:0005546,F
GO:0006915,P
GO:0048268,P
GO:0005154,F
GO:0005200,F
GO:0030276,F
GO:0032051,F
GO:0032266,F
GO:0035254,F
GO:0035612,F
GO:0035615,F
GO:0043325,F
GO:0080025,F
GO:0045742,P
GO:0048260,P
GO:0097190,P
GO:0099637,P
GO:2000588,P
GO:0030136,C
GO:0098793,C
GO:0098794,C
GO:0031093,C
GO:0001895,P
GO:0050766,P
GO:0050908,P
GO:0042995,C
GO:0044877,F
GO:0006821,P
GO:0045174,F
GO:0005903,C
GO:0031982,C
GO:0003743,F
GO:0140492,F
GO:0006413,P
GO:0075522,P
GO:0005852,C
GO:0005245,F
GO:0070588,P
GO:0005891,C
GO:0019870,F
GO:0061629,F
GO:0006858,P
GO:0042391,P
GO:0045746,P
GO:0046718,P
GO:0051865,P
GO:1903765,P
GO:0000151,C
GO:0004672,F
GO:0016301,F
GO:0106310,F
GO:0000082,P
GO:0010571,P
GO:0010971,P
GO:0044770,P
GO:0045171,C
GO:0031431,C
GO:0030855,P
GO:0051879,F
GO:0070888,F
GO:0007623,P
GO:0032922,P
GO:0042634,P
GO:0042753,P
GO:0051775,P
GO:1901985,P
GO:1990513,C
GO:0016303,F
GO:0046934,F
GO:0001779,P
GO:0002551,P
GO:0002679,P
GO:0010595,P
GO:0010818,P
GO:0030101,P
GO:0030217,P
GO:0031295,P
GO:0033031,P
GO:0035747,P
GO:0035754,P
GO:0042110,P
GO:0042113,P
GO:0043303,P
GO:0043491,P
GO:0050852,P
GO:0050853,P
GO:0060374,P
GO:0072672,P
GO:1905278,P
GO:0005943,C
GO:0006086,P
GO:0004742,F
GO:0045254,C
GO:0005415,F
GO:0015212,F
GO:0015213,F
GO:0015389,F
GO:1901474,F
GO:0015861,P
GO:0015862,P
GO:0045117,P
GO:0072531,P
GO:0180015,P
GO:1901642,P
GO:0051923,P
GO:0004062,F
GO:0008146,F
GO:0009308,P
GO:0120216,C
GO:0005313,F
GO:0005314,F
GO:0015501,F
GO:0001504,P
GO:0006835,P
GO:0006836,P
GO:0006865,P
GO:0030878,P
GO:0048538,P
GO:0060022,P
GO:0060023,P
GO:0160093,P
GO:0003964,F
GO:0009036,F
GO:0032197,P
GO:0090304,P
GO:0003756,F
GO:0016971,F
GO:0016972,F
GO:0071949,F
GO:0016242,P
GO:0085029,P
GO:0035580,C
GO:1904724,C
GO:0008521,F
GO:0035348,P
GO:0030695,F
GO:0008154,P
GO:0030041,P
GO:1903526,P
GO:2000402,P
GO:0030666,C
GO:0004114,F
GO:0004115,F
GO:0004118,F
GO:0008270,F
GO:0030552,F
GO:0030553,F
GO:0030911,F
GO:0042301,F
GO:0047555,F
GO:0036006,P
GO:0043116,P
GO:0043117,P
GO:0046069,P
GO:0071320,P
GO:0071321,P
GO:0071560,P
GO:1904613,P
GO:0007095,P
GO:0005095,F
GO:0061608,F
GO:0002753,P
GO:0006606,P
GO:0006607,P
GO:0006610,P
GO:0005643,C
GO:0000175,F
GO:0003899,F
GO:0006264,P
GO:0006390,P
GO:0006391,P
GO:0042645,C
GO:0004686,F
GO:0005516,F
GO:0008135,F
GO:0006414,P
GO:0046777,P
GO:0004950,F
GO:0042379,F
GO:0048020,F
GO:0035145,C
GO:0048025,P
GO:0050684,P
GO:0000118,C
GO:0061574,C
GO:0015630,C
GO:0015631,F
GO:0007420,P
GO:0005875,C
GO:0048027,F
GO:1990247,F
GO:0001817,P
GO:0006412,P
GO:0009653,P
GO:0070934,P
GO:0007029,P
GO:0000266,P
GO:0099073,C
GO:0016559,P
GO:0043653,P
GO:0048312,P
GO:0051259,P
GO:0090023,P
GO:0090141,P
