gene_symbol,total_submissions,total_alleles,pathogenic_likely_pathogenic_alleles,uncertain_alleles,conflict_alleles,yield_bin
ABTB2,255,225,1.0,178.0,0.0,1-5
ABTB3,197,188,,154.0,0.0,none
ACAA1,110,104,,67.0,0.0,none
ACAA2,147,130,,66.0,0.0,none
ACACA,761,623,4.0,230.0,5.0,1-5
ACACB,689,582,1.0,398.0,7.0,1-5
ACAD10,214,196,,148.0,0.0,none
ACAD11,156,141,1.0,110.0,0.0,1-5
ACAD8,630,426,38.0,152.0,25.0,21-100
ACAD9,1898,1233,204.0,274.0,52.0,100+
ACAD9-DT,11,11,,4.0,0.0,none
ACADL,141,123,,70.0,3.0,none
ACADM,2445,1128,394.0,270.0,66.0,100+
ACADS,1040,533,98.0,213.0,40.0,21-100
ACADSB,649,420,45.0,153.0,19.0,21-100
ACADVL,4609,2212,525.0,654.0,137.0,100+
ACAN,2674,1782,219.0,925.0,44.0,100+
ACAP1,193,159,1.0,106.0,0.0,1-5
ACAP2,158,122,2.0,55.0,0.0,1-5
ACAP3,364,334,,156.0,0.0,none
ACAT1,1379,854,233.0,171.0,37.0,100+
ACAT2,156,118,1.0,66.0,0.0,1-5
ACBD3,118,115,1.0,71.0,0.0,1-5
ACBD3-AS1,40,40,,24.0,0.0,none
ACBD4,117,110,,70.0,0.0,none
ACBD5,630,496,28.0,200.0,8.0,21-100
ACBD6,368,267,16.0,134.0,0.0,6-20
ACBD7,55,48,,14.0,0.0,none
ACBD7-DCLRE1CP1,102,79,,48.0,0.0,none
ACCS,147,123,,85.0,0.0,none
ACCSL,112,112,,88.0,0.0,none
ACD,2084,1449,6.0,804.0,27.0,6-20
ACE,1399,861,65.0,428.0,61.0,21-100
ACE2,522,457,,73.0,0.0,none
ACE2-DT,91,87,,2.0,0.0,none
ACER1,65,64,,49.0,0.0,none
ACER2,161,149,2.0,54.0,0.0,1-5
ACER3,184,136,6.0,62.0,1.0,6-20
ACHE,109,100,,58.0,0.0,none
ACIN1,234,223,,172.0,0.0,none
ACKR1,85,70,1.0,44.0,0.0,1-5
ACKR2,22,21,,9.0,0.0,none
ACKR3,134,129,5.0,43.0,1.0,1-5
ACKR4,24,24,,10.0,0.0,none
ACKR5,38,34,,22.0,0.0,none
ACLY,233,176,,129.0,0.0,none
ACMSD,80,78,,55.0,0.0,none
ACO1,277,230,,112.0,1.0,none
ACO2,1348,953,89.0,421.0,21.0,21-100
ACOD1,87,83,,5.0,0.0,none
ACOT1,315,271,1.0,203.0,2.0,1-5
ACOT11,340,263,,189.0,0.0,none
ACOT12,121,120,,102.0,0.0,none
ACOT13,39,38,,27.0,0.0,none
ACOT2,133,128,1.0,96.0,0.0,1-5
ACOT4,94,93,,76.0,0.0,none
ACOT6,75,44,,30.0,0.0,none
ACOT7,165,144,4.0,56.0,0.0,1-5
ACOT8,82,73,,43.0,0.0,none
ACOT9,533,363,1.0,53.0,0.0,1-5
ACOX1,1368,976,95.0,361.0,27.0,21-100
ACOX2,473,358,3.0,206.0,9.0,1-5
ACOX3,345,290,1.0,159.0,1.0,1-5
ACOXL,216,179,1.0,115.0,0.0,1-5
ACOXL-AS1,21,19,,15.0,0.0,none
ACP1,117,104,,31.0,0.0,none
ACP2,110,97,,60.0,0.0,none
ACP3,84,82,,56.0,0.0,none
ACP4,177,151,13.0,95.0,0.0,6-20
ACP5,523,368,40.0,166.0,8.0,21-100
ACP6,417,393,2.0,70.0,0.0,1-5
ACP7,20,19,,6.0,0.0,none
ACR,272,265,46.0,79.0,0.0,21-100
ACRBP,152,137,,74.0,0.0,none
ACRV1,97,96,,29.0,0.0,none
ACSBG1,199,161,,112.0,0.0,none
ACSBG2,150,134,,103.0,0.0,none
ACSF2,188,178,1.0,136.0,0.0,1-5
ACSF3,2063,1255,213.0,330.0,24.0,100+
ACSL1,282,221,,78.0,0.0,none
ACSL3,155,126,,63.0,0.0,none
ACSL3-AS1,27,21,,6.0,0.0,none
ACSL4,654,519,17.0,137.0,13.0,6-20
ACSL5,156,151,1.0,87.0,0.0,1-5
ACSL6,147,114,,75.0,0.0,none
ACSL6-AS1,8,8,,1.0,0.0,none
ACSM1,132,130,,91.0,0.0,none
ACSM2A,157,149,,115.0,0.0,none
ACSM2B,90,87,,64.0,0.0,none
ACSM3,282,234,8.0,170.0,0.0,6-20
ACSM4,142,132,,76.0,0.0,none
ACSM5,128,123,,87.0,0.0,none
ACSM6,114,97,,65.0,0.0,none
ACSS1,146,114,,73.0,0.0,none
ACSS2,150,136,,79.0,0.0,none
ACSS3,140,127,,95.0,0.0,none
ACTA1,1062,674,238.0,207.0,23.0,100+
ACTA2,1550,780,45.0,371.0,36.0,21-100
ACTA2-AS1,593,300,10.0,167.0,0.0,6-20
ACTB,1159,743,141.0,173.0,26.0,100+
ACTBL2,83,83,,72.0,0.0,none
ACTC1,1829,914,23.0,441.0,44.0,21-100
ACTE1P,4,4,,2.0,0.0,none
ACTG1,1584,746,60.0,187.0,44.0,21-100
ACTG2,246,126,44.0,52.0,1.0,21-100
ACTL10,80,80,,58.0,0.0,none
ACTL6A,128,114,,51.0,2.0,none
ACTL6B,270,197,54.0,94.0,4.0,21-100
ACTL7A,127,127,8.0,78.0,0.0,6-20
ACTL7B,141,140,,96.0,0.0,none
ACTL8,81,81,,58.0,0.0,none
ACTL9,81,81,3.0,68.0,0.0,1-5
