year,geoid,sex,race_ethnicity,rate,unit,rate_type
2022,02158,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02164,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02170,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02180,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02185,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02188,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02195,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02198,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02220,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02230,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02240,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02261,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02275,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02282,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02290,Overall,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02013,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02016,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02020,Male,Black,61.9,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02050,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02060,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02068,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02070,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02090,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02100,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02105,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02110,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02122,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02130,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02150,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02158,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02164,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02170,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02180,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02185,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02188,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02195,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02198,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02220,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02230,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02240,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02261,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02275,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02282,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02290,Male,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02013,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02016,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02020,Female,Black,105.2,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02050,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02060,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02068,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02070,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02090,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02100,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02105,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02110,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02122,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02130,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02150,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02158,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
2022,02164,Female,Black,,"per 100,000 population","Age-adjusted, Spatially Smoothed, 3-year Average Rate"
