pubmed_id,first_author,pub_date,journal,study_title
31015401,Wu Y,2019-04-23,Nat Commun,Genome-wide association study of medication-use and associated disease in the UK Biobank.
37949852,Gelfman S,2023-11-11,Nat Commun,A large meta-analysis identifies genes associated with anterior uveitis.
32581359,Saevarsdottir S,2020-06-24,Nature,FLT3 stop mutation increases FLT3 ligand level and risk of autoimmune thyroid disease.
21829393,Plagnol V,2011-08-04,PLoS Genet,Genome-wide association analysis of autoantibody positivity in type 1 diabetes cases.
27329260,Teumer A,2016-06-21,Aging Cell,Genomewide meta-analysis identifies loci associated with IGF-I and IGFBP-3 levels with impact on age-related traits.
42173832,Sinnott-Armstrong N,2026-05-22,Nat Commun,Genetic variants affect diurnal glucose levels throughout the day.
19503597,Kolz M,2009-06-05,PLoS Genet,"Meta-analysis of 28,141 individuals identifies common variants within five new loci that influence uric acid concentrations."
33398198,Conti DV,2021-01-04,Nat Genet,Trans-ancestry genome-wide association meta-analysis of prostate cancer identifies new susceptibility loci and informs genetic risk prediction.
27073872,Yet I,2016-04-13,PLoS One,Genetic Influences on Metabolite Levels: A Comparison across Metabolomic Platforms.
36848389,Currant H,2023-02-27,PLoS Genet,Sub-cellular level resolution of common genetic variation in the photoreceptor layer identifies continuum between rare disease and common variation.
41606330,Namba S,2026-01-28,Nature,A cross-population compendium of gene-environment interactions.
41469377,Wang X,2025-12-30,Nat Commun,The Health for Life in Singapore (HELIOS) Study: delivering precision medicine research for Asian populations.
31562340,Akiyama M,2019-09-27,Nat Commun,Characterizing rare and low-frequency height-associated variants in the Japanese population.
31675503,Gurdasani D,2019-10-01,Cell,Uganda Genome Resource Enables Insights into Population History and Genomic Discovery in Africa.
30804560,Shrine N,2019-02-25,Nat Genet,New genetic signals for lung function highlight pathways and chronic obstructive pulmonary disease associations across multiple ancestries.
37277458,Vosberg DE,2023-06-05,Sci Rep,"The genetics of a ""femaleness/maleness"" score in cardiometabolic traits in the UK biobank."
37989062,Kheirkhah A,2023-11-10,Atherosclerosis,Meta-GWAS on PCSK9 concentrations reveals associations of novel loci outside the PCSK9 locus in White populations.
38036781,He Y,2023-11-30,Nat Genet,East Asian-specific and cross-ancestry genome-wide meta-analyses provide mechanistic insights into peptic ulcer disease.
32876488,Meeks KAC,2020-09-02,Circ Genom Precis Med,"The Genetics of Circulating Resistin Level, A Biomarker for Cardiovascular Diseases, Is Informed by Mendelian Randomization and the Unique Characteristics of African Genomes."
31420334,Lindstrom S,2019-08-16,Blood,Genomic and Transcriptomic Association Studies Identify 16 Novel Susceptibility Loci for Venous Thromboembolism.
23056639,de Boer RA,2012-10-09,PLoS One,A genome-wide association study of circulating galectin-3.
32514122,Ishigaki K,2020-06-08,Nat Genet,Large-scale genome-wide association study in a Japanese population identifies novel susceptibility loci across different diseases.
21300955,Dehghan A,2011-02-07,Circulation,Meta-analysis of genome-wide association studies in >80 000 subjects identifies multiple loci for C-reactive protein levels.
23381943,Williams FM,2013-01-01,Ann Neurol,Ischemic stroke is associated with the ABO locus: the EuroCLOT study.
