entity,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
Greece,GRC,2024-06-26,22467978.0,7938031.0,7647076.0,7461944.0,76.44,73.64
Bulgaria,BGR,2024-06-29,4726614.0,,2078006.0,,,30.64
Bangladesh,BGD,2024-07-02,,151507162.0,,,88.5,
North America,OWID_NAM,2024-07-24,1158547416.0,458563506.0,394493922.0,256264817.0,76.39,65.71
Canada,CAN,2024-07-24,102877159.0,,,34890285.0,,
Czechia,CZE,2024-07-31,19047108.0,6982006.0,6895763.0,5581388.0,66.53,65.71
Hong Kong,HKG,2024-08-10,21014839.0,6920120.0,6803327.0,7291392.0,92.41,90.85
Oceania,OWID_OCE,2024-08-11,88358812.0,28960501.0,28072902.0,25400951.0,64.3,62.33
New Zealand,NZL,2024-08-11,13398398.0,,,4944676.0,,
India,IND,2024-08-12,2206868000.0,1027438924.0,951990552.0,,72.5,67.18
Lower middle income,OWID_LMC,2024-08-12,4954377376.0,2281867638.0,2053053994.0,681863964.0,66.49,59.82
Estonia,EST,2024-08-12,2171623.0,870213.0,862748.0,659459.0,65.62,65.06
World,OWID_WRL,2024-08-14,13578774356.0,5631263739.0,5177942957.0,2817381093.0,70.61,64.93
Malaysia,MYS,2024-08-14,72657288.0,28138569.0,27551144.0,17185825.0,82.91,81.18
European Union,OWID_EUN,2024-08-14,951113290.0,338119562.0,327967426.0,282438789.0,75.11,72.86
Upper middle income,OWID_UMC,2024-08-14,5449980941.0,2109015426.0,1990653301.0,1265984687.0,83.49,78.81
Lithuania,LTU,2024-08-14,4604865.0,1958300.0,1881106.0,948621.0,71.21,68.4
Asia,OWID_ASI,2024-08-14,9104304615.0,3689438947.0,3462095463.0,1815176944.0,78.14,73.33
Europe,OWID_EUR,2024-08-14,1399334208.0,523814328.0,493751304.0,365099941.0,70.33,66.29
High income,OWID_HIC,2024-08-14,2840880020.0,998723024.0,929255961.0,839231470.0,79.86,74.31
